annee,grade_abbrev,nom,prenom,organisation,sdis,age
2000,SGT,GARNIER,Dominique,SDIS,77,
2000,ACH,LARROUETTE,Jean-Claude,SDIS,40,
2000,LTN,MENDIVE,Christian,SDIS,63,
2000,SAP,BAUGE,Yohann,SDIS,37,
2000,LTN,FRANCES,Olivier,SDIS,30,
2000,LTN,CLARISSE,Jacques,SDIS,59,
2000,CPL,MARTIN,Alexandre,SDIS,52,
2000,SAP,BAUDRY,Anthony,BSPP,,
2000,ACH,LECLERC,Olivier,SDIS,13,
2000,SAP,JULIEN,Pierre,SDIS,13,
2000,ADJ,BESSON,Christian,SDIS,38,
2000,CPL,OILLIC,David,UIISC,1,
2000,SAP,COUSSEAU,Gaël,UIISC,1,
2000,SAP,QUESNE,François,SDIS,26,
2000,CCH,DELMARRE,Bruno,SDIS,62,
2000,SAP,CAMEAU,Nicolas,UIISC,5,
2000,SAP,FAUVEL,Pascal,UIISC,5,
2000,COPIL,TRINQUE,Paul,UIISC,,
2000,CNE,MAIRE,Denis,SDIS,54,
2000,CCH,LE GOUANVIC,Joël,SDIS,56,
2001,SAP,DESFOSSEZ,Christophe,SDIS,77,
2001,SAP,INVERNIZZI,André,SDIS,13,
2001,SAP,FLESCH,Philippe,SDIS,68,
2001,CCH,BRIFFAUD,Roger,SDIS,85,
2001,ADJ,COLAS,Patrick,SDIS,10,
2001,SM,GOSSE,Yann,BMPM,,
2001,CPL,GALLAND,Matthieu,SDIS,68,
2001,CCH,RAVACHE,Loïc,SDIS,44,
2001,ACH,PAULETTO,Bernard,SDIS,69,
2001,CCH,DELARBRE,Valéry,SDIS,43,
2001,CCH,AUZUECH,Eric,SDIS,12,
2001,CPL,DURAND,Jérôme,SDIS,35,
2001,CCH,LEONE,Christophe,SDIS,52,
2001,LTN,PIERROT,Jean-François,SDIS,52,
2001,SCH,AUTES,Robert,SDIS,13,
2001,CPL,DELAIR,Jean-Marie,SDIS,63,
2001,CPL,GUILLOT,Gérard,SDIS,63,
2001,SCH,GROSSELIN,Jacky,SDIS,08,
2001,SAP,SANCHEZ,Jean-Louis,SDIS,30,
2001,SCH,RANDON,Jean-Claude,SDIS,34,
2001,CCH,DOUCHET,Daniel,SDIS,62,
2001,CPL,OLIVIER,Yannick,SDIS,44,
2002,CPL,DUFERMONT,Mickaël,SDIS,59,
2002,MAJ,DUFOUR,Patrice,SDIS,59,
2002,CCH,DASSONVAL,Jean-Pierre,SDIS,62,
2002,CCH,ZAVANI,Jean,SDIS,2A,
2025,SGT,BALLY,Clément,SDIS,60,33
2025,SGT,VILNET,Clément,SDIS,51,35
2025,ADC,BREZAULT,Michaël,SDIS,24,52
2025,SGT,PRUD'HOMME,Maxime,SDIS,02,23
2025,SGT,MOSIN,Tanguy,SDIS,02,22
